nickname,region,tier,lp,wins,top4,champ_1,games_champ_1,champ_2,games_champ_2,champ_3,games_champ_3,champ_4,games_champ_4,champ_5,games_champ_5
수영장파티임재균#KR1,kr,,805 LP,5,12,럼블,12.0,일라오이,10.0,엘리스,9.0,갱플랭크,8.0,제이스,8.0
오 창 섭#1226,kr,,805 LP,1,7,럼블,11.0,엘리스,9.0,렐,8.0,코르키,8.0,이즈리얼,7.0
애국보수 서현숙#KR2,kr,,804 LP,1,16,일라오이,6.0,코르키,6.0,스웨인,5.0,블리츠크랭크,5.0,가렌,5.0
무등산 꽃뱀#KR1,kr,,804 LP,6,14,엘리스,10.0,에코,8.0,케이틀린,6.0,제리,6.0,스카,6.0
okkth#O3O,kr,,804 LP,3,9,이렐리아,9.0,일라오이,9.0,럼블,9.0,엘리스,8.0,누누와 윌럼프,7.0
낭만정민#KR1,kr,,803 LP,2,16,문도 박사,8.0,누누와 윌럼프,8.0,엘리스,7.0,블라디미르,6.0,세비카,6.0
근데뻥#KR1,kr,,802 LP,1,8,가렌,12.0,암베사,11.0,엘리스,9.0,블라디미르,9.0,트리스타나,9.0
살아나자 애런주드게#애런저지,kr,,802 LP,6,14,엘리스,11.0,제이스,8.0,일라오이,8.0,스웨인,8.0,럼블,7.0
동 5#KR1,kr,,801 LP,3,11,엘리스,8.0,이즈리얼,7.0,갱플랭크,7.0,럼블,6.0,레오나,6.0
이테권#KR1,kr,,801 LP,2,9,엘리스,13.0,누누와 윌럼프,11.0,문도 박사,7.0,트위치,6.0,우르곳,6.0
낭만주의#KR2,kr,,800 LP,1,8,엘리스,11.0,바이,10.0,갱플랭크,8.0,암베사,7.0,케이틀린,6.0
HaYoun#LUCKY,kr,,799 LP,2,10,엘리스,10.0,블라디미르,8.0,가렌,8.0,일라오이,7.0,문도 박사,7.0
dtqfd#KR1,kr,,798 LP,3,12,엘리스,10.0,누누와 윌럼프,9.0,문도 박사,8.0,우르곳,7.0,워윅,6.0
rhalstjr11#www,kr,,798 LP,3,10,엘리스,12.0,가렌,11.0,갱플랭크,9.0,바이,9.0,암베사,7.0
보배반점라드도둑#1122,kr,,797 LP,2,10,럼블,10.0,로리스,7.0,에코,6.0,일라오이,6.0,렐,6.0
Simp1e is best#TFT,kr,,797 LP,1,14,에코,11.0,우르곳,9.0,엘리스,9.0,갱플랭크,7.0,코르키,7.0
휘 캉#롤토체스,kr,,796 LP,2,8,엘리스,13.0,럼블,10.0,코르키,9.0,일라오이,8.0,갱플랭크,7.0
꾸덕행#KR1,kr,,796 LP,4,13,가렌,9.0,트리스타나,9.0,이즈리얼,7.0,암베사,7.0,이렐리아,7.0
토트넘두산DRX#KR1,kr,,795 LP,2,9,바이,10.0,엘리스,8.0,문도 박사,8.0,가렌,7.0,매디,7.0
쯩씁이#KR1,kr,,795 LP,1,13,엘리스,11.0,럼블,8.0,에코,7.0,갱플랭크,7.0,바이,7.0
워로그#KR1,kr,,794 LP,5,12,에코,27.0,코르키,21.0,갱플랭크,20.0,파우더,19.0,바이,19.0
발라드는 소음이다#1557,kr,,794 LP,2,12,바이,10.0,코르키,10.0,엘리스,10.0,갱플랭크,8.0,로리스,6.0
용자라면#KR1,kr,,792 LP,4,10,일라오이,9.0,렐,8.0,이즈리얼,8.0,이렐리아,8.0,엘리스,6.0
오렌지KD#soul,kr,,792 LP,7,15,에코,9.0,엘리스,9.0,스미치,8.0,누누와 윌럼프,8.0,일라오이,7.0
반등의 신 김창섭#1511,kr,,792 LP,1,13,가렌,8.0,조이,7.0,엘리스,6.0,에코,6.0,럼블,6.0
id4#9254,kr,,792 LP,3,13,신지드,8.0,세비카,7.0,일라오이,7.0,밴더,6.0,레니,6.0
솟트롤#KR1,kr,,792 LP,2,9,엘리스,9.0,바이,9.0,우르곳,6.0,트위치,6.0,문도 박사,6.0
마님공굴러가유#누누애비,kr,,791 LP,4,13,엘리스,14.0,에코,10.0,럼블,8.0,코르키,8.0,갱플랭크,7.0
단발 팜하니#버블검,kr,,791 LP,3,14,엘리스,10.0,이즈리얼,9.0,누누와 윌럼프,8.0,일라오이,8.0,코르키,7.0
망가진칼#KR1,kr,,791 LP,2,7,엘리스,10.0,에코,10.0,파우더,9.0,코르키,8.0,갱플랭크,8.0
신사가되세요#KR2,kr,,791 LP,0,10,에코,8.0,스카,8.0,가렌,7.0,엘리스,7.0,럼블,6.0
핫주먹#KR1,kr,,1027 LP,6,15,럼블,8.0,워윅,7.0,에코,7.0,렐,7.0,바이,7.0
Just 킬 #KR1,kr,,951 LP,4,15,럼블,10.0,가렌,7.0,렐,7.0,일라오이,6.0,제리,5.0
초보끼리합시다#KR1,kr,,904 LP,3,12,엘리스,11.0,바이,9.0,에코,8.0,갱플랭크,8.0,파우더,7.0
무 뎅#탱글탱글,kr,,900 LP,3,11,바이,8.0,케이틀린,7.0,문도 박사,7.0,암베사,6.0,일라오이,6.0
전직깡패 계두식#KR2,kr,,884 LP,1,11,바이,8.0,엘리스,7.0,일라오이,7.0,스텝,6.0,렐,6.0
강남땅부자#KR2,kr,,859 LP,3,15,엘리스,10.0,누누와 윌럼프,9.0,자이라,8.0,문도 박사,8.0,우르곳,7.0
탐켄치빵댕이찰싹#KR1,kr,,859 LP,2,13,일라오이,9.0,렐,9.0,암베사,8.0,로리스,8.0,트위스티드 페이트,7.0
도금이#KR2,kr,,833 LP,2,11,에코,11.0,엘리스,10.0,파우더,8.0,바이,7.0,가렌,6.0
나비의꿈#1111,kr,,830 LP,4,13,엘리스,11.0,럼블,7.0,암베사,6.0,갱플랭크,6.0,누누와 윌럼프,6.0
스윗치레인#KR1,kr,,826 LP,4,14,럼블,10.0,모르가나,10.0,렐,10.0,말자하,10.0,누누와 윌럼프,10.0
08년생#5268,kr,,826 LP,4,9,엘리스,9.0,갱플랭크,8.0,럼블,8.0,코르키,7.0,파우더,6.0
BarryAllen#1214,kr,,823 LP,1,12,엘리스,8.0,트리스타나,6.0,갱플랭크,6.0,이렐리아,5.0,일라오이,5.0
쭈니쭈니77#KR1,kr,,811 LP,0,11,럼블,11.0,코르키,10.0,에코,9.0,갱플랭크,8.0,엘리스,8.0
Sentiment Du Fer#EMDE,kr,,807 LP,3,14,일라오이,9.0,이렐리아,8.0,렐,8.0,엘리스,6.0,레나타 글라스크,6.0
구지금#KR1,kr,,803 LP,2,11,렐,9.0,엘리스,8.0,암베사,7.0,제이스,7.0,가렌,7.0
KCI#KCI,kr,,803 LP,2,10,누누와 윌럼프,8.0,엘리스,8.0,트리스타나,7.0,우르곳,6.0,제이스,5.0
아아이이크크#KR1,kr,,796 LP,5,8,엘리스,15.0,에코,11.0,코르키,11.0,파우더,10.0,갱플랭크,10.0
그림자 없는 상자#KR1,kr,,793 LP,5,12,코르키,10.0,럼블,9.0,엘리스,9.0,갱플랭크,9.0,에코,8.0
세훈이의 모험#KR1,kr,,791 LP,3,12,럼블,12.0,엘리스,10.0,세트,8.0,이렐리아,8.0,일라오이,8.0
이 년#서 카,kr,,790 LP,6,14,바이,12.0,엘리스,9.0,에코,9.0,파우더,8.0,코르키,7.0
의문의자크유저#1234,kr,,787 LP,5,10,엘리스,11.0,누누와 윌럼프,11.0,일라오이,9.0,럼블,9.0,렐,8.0
정인호#KR1,kr,,785 LP,2,15,바이,10.0,럼블,7.0,일라오이,7.0,멜,6.0,트위스티드 페이트,6.0
가로스#가로스,kr,,779 LP,2,17,럼블,8.0,징크스,7.0,코르키,7.0,엘리스,7.0,바이,7.0
KHAKI#4562,kr,,777 LP,8,12,렐,10.0,암베사,9.0,이렐리아,9.0,일라오이,8.0,럼블,7.0
소나서스카너#KR1,kr,,776 LP,8,13,엘리스,14.0,르블랑,9.0,암베사,7.0,트리스타나,7.0,바이,7.0
silent tonight#KR1,kr,,773 LP,3,12,에코,9.0,가렌,8.0,트리스타나,7.0,엘리스,7.0,블라디미르,6.0
지 웅#0203,kr,,771 LP,4,14,엘리스,9.0,가렌,7.0,암베사,6.0,스웨인,6.0,바이,6.0
모루아응#KR1,kr,,771 LP,5,13,코르키,13.0,럼블,11.0,갱플랭크,11.0,에코,10.0,트리스타나,10.0
조이발바닥만지기#zoez1,kr,,771 LP,4,14,엘리스,8.0,누누와 윌럼프,7.0,신지드,6.0,렐,6.0,블라디미르,5.0
갓블레스유#KR777,kr,,770 LP,1,9,엘리스,10.0,렐,9.0,일라오이,9.0,로리스,7.0,이렐리아,6.0
망코많흔#KR1,kr,,768 LP,5,9,럼블,10.0,일라오이,8.0,누누와 윌럼프,8.0,엘리스,7.0,바이,7.0
엉만티부캐#9141,kr,,767 LP,2,10,일라오이,11.0,렐,9.0,누누와 윌럼프,8.0,로리스,7.0,모르가나,6.0
zolamotae#KR1,kr,,766 LP,5,12,엘리스,12.0,문도 박사,12.0,누누와 윌럼프,10.0,제이스,9.0,케이틀린,9.0
루도와이얀#KR1,kr,,765 LP,2,15,엘리스,12.0,일라오이,8.0,렐,8.0,럼블,7.0,제이스,6.0
Viento#777,kr,,763 LP,4,13,엘리스,15.0,갱플랭크,9.0,제이스,7.0,문도 박사,7.0,우르곳,7.0
T1 이경춘#6974,kr,,763 LP,3,15,엘리스,13.0,갱플랭크,8.0,바이,7.0,누누와 윌럼프,6.0,문도 박사,6.0
TFT 킹태종#KR1,kr,,762 LP,3,11,트리스타나,7.0,엘리스,6.0,렐,6.0,누누와 윌럼프,6.0,문도 박사,6.0
허 마#허 마,kr,,762 LP,4,14,럼블,10.0,암베사,8.0,가렌,7.0,나미,6.0,렐,6.0
HoHoAjuma#KR1,kr,,760 LP,5,14,워윅,6.0,럼블,6.0,엘리스,6.0,누누와 윌럼프,6.0,바이,6.0
팬다는팬다#123,kr,,759 LP,4,14,엘리스,12.0,문도 박사,7.0,에코,6.0,코르키,6.0,케이틀린,5.0
시원찮은시원스쿨#KR1,kr,,758 LP,3,14,바이,9.0,엘리스,8.0,파우더,8.0,에코,7.0,누누와 윌럼프,6.0
선준혁#9648,kr,,758 LP,5,15,럼블,8.0,에코,8.0,일라오이,7.0,렐,7.0,하이머딩거,7.0
타도장#9628,kr,,758 LP,2,12,럼블,11.0,암베사,10.0,일라오이,9.0,이렐리아,7.0,바이,6.0
요네장인최태양#KR2,kr,,757 LP,4,15,럼블,13.0,바이,8.0,엘리스,7.0,이즈리얼,7.0,일라오이,7.0
신 한#KR1,kr,,755 LP,1,7,엘리스,9.0,렐,8.0,가렌,7.0,누누와 윌럼프,6.0,스카,6.0
一夏の暑さ#xxx,kr,,754 LP,2,12,에코,10.0,일라오이,9.0,렐,8.0,이렐리아,7.0,럼블,6.0
찐짱이#620,kr,,753 LP,3,10,엘리스,9.0,케이틀린,9.0,누누와 윌럼프,8.0,트위치,8.0,바이,8.0
용 추#2756,kr,,752 LP,3,11,일라오이,10.0,럼블,8.0,이렐리아,7.0,바이,6.0,에코,5.0
현 인 갓#KR1,kr,,751 LP,4,12,엘리스,10.0,블라디미르,7.0,일라오이,7.0,르블랑,6.0,스웨인,6.0
뭐가돋을지몰라#KR1,kr,,750 LP,6,13,에코,9.0,제리,7.0,엘리스,7.0,스카,7.0,럼블,6.0
박상민군#KR1,kr,,750 LP,4,10,엘리스,8.0,일라오이,7.0,케이틀린,6.0,트위스티드 페이트,6.0,이렐리아,6.0
빅토르#KR523,kr,,750 LP,2,12,에코,10.0,제이스,7.0,로리스,7.0,엘리스,6.0,일라오이,6.0
어제는 당신 꿈을 꿨어요#2711,kr,,747 LP,3,14,문도 박사,8.0,누누와 윌럼프,7.0,블라디미르,6.0,가렌,6.0,엘리스,6.0
EveningSouth#KR1,kr,,745 LP,2,12,누누와 윌럼프,11.0,엘리스,11.0,렐,9.0,하이머딩거,6.0,신지드,6.0
기민하게#KR42,kr,,745 LP,2,13,코르키,11.0,엘리스,9.0,럼블,7.0,바이,7.0,로리스,6.0
3CO1GO#KR1,kr,,745 LP,1,10,엘리스,11.0,코르키,9.0,갱플랭크,8.0,제이스,8.0,에코,7.0
79740437del#KR1,kr,,744 LP,2,12,엘리스,9.0,일라오이,7.0,가렌,6.0,트리스타나,6.0,에코,6.0
미니미벨코즈#KR1,kr,,743 LP,1,8,엘리스,11.0,갱플랭크,10.0,제이스,9.0,트리스타나,9.0,암베사,8.0
곰돌이라규#KR1,kr,,743 LP,4,12,엘리스,8.0,일라오이,7.0,가렌,7.0,암베사,7.0,이렐리아,6.0
연 흔#KR1,kr,,742 LP,3,13,엘리스,12.0,누누와 윌럼프,9.0,우르곳,8.0,가렌,7.0,문도 박사,6.0
딘 슈 송#KR1,kr,,741 LP,6,14,엘리스,10.0,세비카,9.0,문도 박사,9.0,럼블,8.0,누누와 윌럼프,8.0
ILY QUAD#KR1,kr,,740 LP,5,12,럼블,8.0,암베사,8.0,에코,7.0,카밀,7.0,로리스,7.0
무례하긴 순애야#KR3,kr,,740 LP,0,13,엘리스,10.0,갱플랭크,10.0,코르키,10.0,이즈리얼,9.0,트리스타나,8.0
우 주#2302,kr,,737 LP,2,13,렐,8.0,일라오이,7.0,엘리스,7.0,하이머딩거,6.0,에코,6.0
젤 링#KR2,kr,,737 LP,2,12,럼블,8.0,누누와 윌럼프,7.0,에코,7.0,모르가나,5.0,신지드,5.0
야반동주#KR1,kr,,735 LP,2,8,조이,7.0,에코,7.0,이렐리아,7.0,엘리스,6.0,세트,6.0
우에하라 아이번#KR2,kr,,734 LP,1,11,누누와 윌럼프,13.0,자이라,11.0,우르곳,11.0,갱플랭크,10.0,코르키,9.0
외모지상주의#거울봐,kr,,732 LP,6,13,레나타 글라스크,12.0,신지드,11.0,벡스,10.0,렐,10.0,누누와 윌럼프,10.0
감귤농장사다리도둑#제주흑돼지,kr,,730 LP,3,9,이즈리얼,9.0,일라오이,9.0,럼블,9.0,이렐리아,8.0,조이,7.0
폭풍이#KR1,kr,,730 LP,2,11,에코,10.0,럼블,9.0,갱플랭크,9.0,바이,7.0,코르키,7.0
screw you guys#0306,kr,,730 LP,5,12,엘리스,9.0,트리스타나,7.0,암베사,7.0,럼블,6.0,에코,6.0
보령 멋쟁이#KR1,kr,,729 LP,4,8,럼블,8.0,엘리스,8.0,에코,8.0,바이,7.0,가렌,6.0
고 니#KR10,kr,,729 LP,2,12,럼블,11.0,가렌,7.0,에코,7.0,이렐리아,6.0,일라오이,6.0
지아야이미내맘속엔니가가득쌓였어#0225,kr,,729 LP,5,12,암베사,8.0,에코,8.0,르블랑,7.0,코르키,7.0,엘리스,7.0
야식은치킨에보쌈#KR1,kr,,728 LP,4,13,럼블,9.0,로리스,8.0,일라오이,7.0,에코,7.0,가렌,7.0
TB23#TFTKR,kr,,728 LP,3,13,엘리스,9.0,일라오이,8.0,럼블,6.0,가렌,6.0,에코,6.0
잘 모르겠다#KR2,kr,,727 LP,3,13,럼블,11.0,코르키,10.0,렐,10.0,하이머딩거,9.0,갱플랭크,8.0
야베스#KR1,kr,,727 LP,1,11,바이,9.0,에코,9.0,엘리스,8.0,럼블,8.0,갱플랭크,8.0
살랑살랑#babo,kr,,726 LP,9,15,코르키,8.0,럼블,8.0,엘리스,8.0,렐,7.0,갱플랭크,7.0
김은석#0919,kr,,725 LP,4,12,엘리스,14.0,누누와 윌럼프,13.0,문도 박사,10.0,우르곳,10.0,자이라,9.0
winter#내꺼얌,kr,,725 LP,4,12,엘리스,13.0,일라오이,8.0,자이라,8.0,누누와 윌럼프,8.0,문도 박사,8.0
Brain Hazard#KR1,kr,,724 LP,3,10,엘리스,9.0,트리스타나,7.0,갱플랭크,7.0,파우더,7.0,에코,6.0
열정열정#KR1,kr,,723 LP,4,13,엘리스,13.0,우르곳,8.0,누누와 윌럼프,8.0,케이틀린,7.0,바이,7.0
합격엔장#KR1,kr,,723 LP,2,12,일라오이,15.0,엘리스,12.0,코르키,10.0,에코,10.0,갱플랭크,9.0
dwn0#1234,kr,,723 LP,3,11,코르키,10.0,이즈리얼,9.0,일라오이,8.0,제이스,8.0,엘리스,8.0
송물렁#KR1,kr,,722 LP,2,10,럼블,10.0,이렐리아,9.0,일라오이,9.0,레오나,8.0,이즈리얼,8.0
1401#8736,kr,,722 LP,7,13,에코,9.0,엘리스,8.0,럼블,8.0,일라오이,7.0,갱플랭크,6.0
르르땅좋아하면개추#JRR,kr,,721 LP,0,13,엘리스,8.0,문도 박사,7.0,가렌,7.0,일라오이,6.0,에코,6.0
푸으른안개#KR1,kr,,721 LP,3,12,엘리스,11.0,문도 박사,8.0,럼블,7.0,에코,7.0,바이,7.0
헤이디#헤이디,kr,,721 LP,1,11,일라오이,10.0,이즈리얼,9.0,럼블,9.0,이렐리아,8.0,엘리스,8.0
반말마#반말마,kr,,721 LP,3,15,갱플랭크,10.0,엘리스,9.0,바이,8.0,암베사,7.0,스웨인,7.0
좋은개미임#KR1,kr,,721 LP,5,16,레니,8.0,카밀,7.0,에코,7.0,스미치,7.0,실코,7.0
김주환환#KR1,kr,,720 LP,5,12,럼블,10.0,케이틀린,8.0,세비카,7.0,바이,7.0,트위스티드 페이트,7.0
와츠롱#WYBH,kr,,719 LP,4,11,엘리스,9.0,일라오이,8.0,바이,8.0,누누와 윌럼프,7.0,로리스,7.0
밍둘레#KR2,kr,,719 LP,2,12,일라오이,8.0,누누와 윌럼프,8.0,바이,6.0,엘리스,6.0,렐,5.0
어둠의실력자#가되고싶어,kr,,719 LP,5,15,엘리스,10.0,우르곳,7.0,트리스타나,6.0,가렌,6.0,빅토르,6.0
OMEGA#moon,kr,,718 LP,2,8,렐,9.0,일라오이,9.0,이렐리아,7.0,이즈리얼,6.0,코르키,6.0
큰그림을봐라#KR1,kr,,718 LP,8,15,가렌,14.0,에코,13.0,카밀,11.0,스미치,11.0,징크스,9.0
여쩌리#KR1,kr,,718 LP,1,10,엘리스,12.0,바이,10.0,케이틀린,9.0,우르곳,9.0,누누와 윌럼프,9.0
Bluewool#KR1,kr,,718 LP,4,12,엘리스,8.0,이렐리아,6.0,이즈리얼,6.0,일라오이,6.0,렐,5.0
hs갓2#KR1,kr,,718 LP,1,10,엘리스,9.0,바이,8.0,문도 박사,7.0,조이,7.0,세트,6.0
카르센도#1234,kr,,718 LP,5,12,엘리스,11.0,럼블,7.0,일라오이,7.0,바이,6.0,렐,6.0
좀즈메의 문단속#KR1,kr,,717 LP,2,12,로리스,10.0,엘리스,10.0,럼블,9.0,바이,8.0,렐,7.0
두 재#KR1,kr,,717 LP,3,12,엘리스,11.0,자이라,9.0,누누와 윌럼프,8.0,우르곳,7.0,일라오이,7.0
선 해#KR1,kr,,717 LP,5,11,암베사,9.0,럼블,8.0,세비카,7.0,엘리스,7.0,갱플랭크,7.0
하 논#Coach,kr,,717 LP,3,7,가렌,10.0,엘리스,9.0,일라오이,8.0,이렐리아,7.0,문도 박사,7.0
봉미선#무다리,kr,,717 LP,0,12,누누와 윌럼프,9.0,케이틀린,7.0,엘리스,7.0,하이머딩거,6.0,카밀,6.0
D OnlyOneToEnd#KR1,kr,,716 LP,3,14,일라오이,10.0,이렐리아,9.0,아칼리,8.0,이즈리얼,8.0,럼블,7.0
준떡대#KR1,kr,,716 LP,6,13,엘리스,15.0,럼블,7.0,갱플랭크,7.0,코르키,6.0,파우더,6.0
핑펭풍펭펭#KR1,kr,,715 LP,4,11,에코,8.0,가렌,8.0,엘리스,7.0,조이,7.0,블라디미르,6.0
명진1108#KR1,kr,,715 LP,2,10,에코,9.0,럼블,8.0,로리스,7.0,모르가나,7.0,이렐리아,7.0
우리메리#KR2,kr,,714 LP,2,12,에코,10.0,일라오이,9.0,로리스,8.0,이렐리아,8.0,암베사,7.0
iIiiliililiiil#KR1,kr,,713 LP,0,8,일라오이,9.0,이렐리아,9.0,렐,8.0,럼블,8.0,에코,7.0
미안내가좀늙어서#KR1,kr,,713 LP,5,13,엘리스,12.0,럼블,9.0,에코,9.0,케이틀린,6.0,가렌,6.0
선생님어지러워요#오늘도,kr,,713 LP,4,11,엘리스,9.0,암베사,7.0,스웨인,7.0,조이,7.0,갱플랭크,6.0
소나기#내려요,kr,,713 LP,4,8,엘리스,13.0,갱플랭크,8.0,트리스타나,7.0,코르키,7.0,파우더,7.0
Mid Ezreal#KR1,kr,,711 LP,3,10,엘리스,10.0,럼블,9.0,바이,9.0,에코,8.0,로리스,7.0
bbackgosu#KR1,kr,,710 LP,1,9,누누와 윌럼프,9.0,자이라,9.0,트리스타나,8.0,이즈리얼,7.0,우르곳,7.0
침팬지맨#KR1,kr,,709 LP,1,7,엘리스,10.0,에코,8.0,바이,8.0,매디,8.0,로리스,7.0
누나유미해쭁#1234,kr,,709 LP,4,10,엘리스,14.0,갱플랭크,12.0,코르키,10.0,트리스타나,10.0,누누와 윌럼프,9.0
금속배트#기 합,kr,,708 LP,4,14,엘리스,11.0,스웨인,11.0,갱플랭크,9.0,럼블,8.0,르블랑,7.0
심술쟁이김치#1111,kr,,708 LP,2,8,엘리스,13.0,가렌,12.0,블라디미르,11.0,문도 박사,8.0,럼블,8.0
FERY#TFT,kr,,708 LP,5,13,엘리스,10.0,가렌,8.0,일라오이,7.0,문도 박사,6.0,럼블,6.0
술재래기#KR1,kr,,708 LP,3,12,엘리스,9.0,나미,7.0,블라디미르,6.0,조이,6.0,가렌,6.0
Meta#ch1,kr,,708 LP,0,0,,,,,,,,,,
Actin#1711,kr,,707 LP,4,9,엘리스,11.0,바이,9.0,우르곳,7.0,트위치,6.0,문도 박사,6.0
마눌고양이#1234,kr,,706 LP,3,12,엘리스,10.0,문도 박사,10.0,가렌,7.0,일라오이,7.0,누누와 윌럼프,7.0
문대권김영선문대권김영선문대권#문김문김문,kr,,704 LP,3,12,엘리스,12.0,갱플랭크,7.0,누누와 윌럼프,7.0,럼블,7.0,스웨인,6.0
프리미엄후후#KR1,kr,,704 LP,4,10,엘리스,11.0,스텝,9.0,문도 박사,7.0,누누와 윌럼프,7.0,케이틀린,6.0
모카발바닥은마약#KR1,kr,,703 LP,5,11,엘리스,11.0,케이틀린,7.0,카밀,7.0,에코,7.0,가렌,7.0
롤체의달인봉달#KR1,kr,,702 LP,4,10,일라오이,13.0,이렐리아,11.0,엘리스,11.0,렐,8.0,레오나,7.0
뚀가스#KR1,kr,,701 LP,4,10,바이,9.0,엘리스,9.0,암베사,7.0,문도 박사,7.0,갱플랭크,7.0
enjoytft#KR1,kr,,701 LP,4,12,렐,10.0,제이스,10.0,모데카이저,7.0,엘리스,7.0,문도 박사,7.0
아 인#1125,kr,,701 LP,1,6,갱플랭크,7.0,바이,7.0,엘리스,6.0,가렌,6.0,스웨인,6.0
전영주#전영주,kr,,701 LP,6,10,럼블,9.0,코르키,7.0,암베사,7.0,렐,7.0,엘리스,6.0
지역인재#KR1,kr,,700 LP,3,11,갱플랭크,8.0,럼블,7.0,빅토르,6.0,누누와 윌럼프,6.0,가렌,5.0
잘해서왔다#KR1,kr,,700 LP,4,15,럼블,10.0,에코,8.0,일라오이,8.0,징크스,6.0,암베사,6.0
홍마유시#김홍현,kr,,700 LP,2,12,엘리스,11.0,갱플랭크,11.0,누누와 윌럼프,9.0,럼블,7.0,우르곳,7.0
춘천뉴윌드나이트#KR1,kr,,699 LP,2,13,엘리스,10.0,이즈리얼,9.0,누누와 윌럼프,9.0,코르키,9.0,갱플랭크,9.0
그냥 갈게 비켜줘#KR1,kr,,699 LP,1,11,엘리스,8.0,바이,7.0,일라오이,6.0,가렌,5.0,스카,5.0
에라모르겠다운 #KR1,kr,,699 LP,3,11,엘리스,9.0,럼블,9.0,바이,9.0,에코,7.0,가렌,7.0
상왕머머리김민창#KR2,kr,,699 LP,4,7,에코,8.0,이렐리아,8.0,일라오이,8.0,엘리스,8.0,조이,7.0
오레오레오#1111,kr,,698 LP,2,13,엘리스,7.0,럼블,7.0,워윅,6.0,일라오이,6.0,암베사,6.0
T1 Kerihyeon#케리현,kr,,698 LP,4,15,엘리스,14.0,제이스,12.0,럼블,10.0,갱플랭크,9.0,문도 박사,8.0
Vincom#KR1,kr,,697 LP,2,8,엘리스,8.0,가렌,7.0,블라디미르,6.0,문도 박사,6.0,누누와 윌럼프,6.0
카밀피오라레넥톤#KR1,kr,,697 LP,0,8,엘리스,11.0,에코,9.0,갱플랭크,7.0,가렌,6.0,케이틀린,6.0
찡찡대면안이겨줌#KR1,kr,,696 LP,5,8,렐,10.0,엘리스,9.0,럼블,9.0,나미,8.0,하이머딩거,8.0
화염자동차#KR1,kr,,695 LP,5,15,엘리스,11.0,럼블,8.0,바이,8.0,스웨인,7.0,코르키,7.0
호오정#KR1,kr,,694 LP,2,11,암베사,10.0,엘리스,9.0,트위치,9.0,바이,8.0,누누와 윌럼프,8.0
롤체만할거임#jyh,kr,,694 LP,5,11,럼블,12.0,로리스,7.0,트위스티드 페이트,7.0,케이틀린,7.0,렐,7.0
세렌디피티#SEREN,kr,,693 LP,2,11,트리스타나,11.0,우르곳,10.0,갱플랭크,9.0,이즈리얼,8.0,이렐리아,8.0
정원석#정원석,kr,,693 LP,2,16,럼블,8.0,암베사,8.0,에코,7.0,징크스,7.0,이즈리얼,6.0
구구단을하자#8190,kr,,693 LP,2,11,엘리스,9.0,케이틀린,7.0,우르곳,7.0,바이,7.0,문도 박사,6.0
윤묘수#KR1,kr,,693 LP,3,11,엘리스,9.0,럼블,7.0,누누와 윌럼프,7.0,갱플랭크,7.0,일라오이,6.0
근 식#6666,kr,,692 LP,5,14,럼블,11.0,일라오이,9.0,렐,8.0,바이,7.0,코르키,6.0
못해요#디바우어,kr,,692 LP,4,12,엘리스,12.0,갱플랭크,10.0,암베사,7.0,로리스,7.0,럼블,7.0
zhzhzhzhzhzh#KR1,kr,,691 LP,3,9,가렌,9.0,스카,7.0,에코,7.0,엘리스,7.0,우르곳,6.0
유 미#9876,kr,,690 LP,3,10,에코,13.0,스미치,11.0,가렌,11.0,파우더,9.0,제리,9.0
삭 그냥 씨#KR1,kr,,690 LP,2,9,에코,10.0,파우더,8.0,엘리스,8.0,럼블,6.0,갱플랭크,6.0
새해야수배불뚝이#5753,kr,,690 LP,4,11,에코,10.0,이렐리아,8.0,일라오이,8.0,엘리스,8.0,럼블,6.0
한윤재#KRTFT,kr,,690 LP,2,12,엘리스,10.0,일라오이,7.0,제이스,6.0,이렐리아,6.0,로리스,6.0
오빠불꺼#KR1,kr,,689 LP,8,15,럼블,12.0,엘리스,9.0,로리스,9.0,일라오이,8.0,제이스,7.0
incheonfist#KR1,kr,,689 LP,1,9,바이,8.0,엘리스,8.0,에코,6.0,가렌,6.0,케이틀린,6.0
준 비#KR1,kr,,688 LP,4,15,엘리스,11.0,럼블,9.0,케이틀린,9.0,누누와 윌럼프,7.0,매디,6.0
롤체 전문 한의사#KR1,kr,,688 LP,2,11,자이라,7.0,엘리스,7.0,블라디미르,6.0,가렌,5.0,코그모,5.0
조만간일본여행#KR1,kr,,687 LP,3,9,문도 박사,11.0,실코,8.0,엘리스,8.0,모데카이저,7.0,럼블,7.0
BALRAJO#KR1,kr,,687 LP,4,10,트리스타나,9.0,누누와 윌럼프,8.0,코르키,7.0,나미,6.0,암베사,6.0
dumpsong#KR1,kr,,687 LP,3,8,암베사,7.0,렐,7.0,엘리스,7.0,블라디미르,7.0,가렌,7.0
Oneshot347#KR1,kr,,687 LP,4,13,엘리스,9.0,누누와 윌럼프,7.0,블라디미르,6.0,조이,6.0,암베사,6.0
ililililill#8734,kr,,687 LP,5,14,엘리스,9.0,모데카이저,7.0,문도 박사,7.0,암베사,6.0,럼블,6.0
냥뇽녕냥귀엽다#KR1,kr,,686 LP,3,12,엘리스,7.0,블라디미르,6.0,카밀,6.0,가렌,6.0,에코,6.0
잉여긔긔#KR1,kr,,686 LP,5,14,가렌,9.0,스웨인,9.0,블라디미르,8.0,엘리스,8.0,암베사,8.0
